invoice_id,order_id,customer_id,invoice_date,due_date,invoice_amount,tax_amount,total_amount,payment_status,payment_terms,days_overdue,notes
INV-2024-001,SO-2024-001,CUST-001,2024-01-16,2024-02-15,34200.00,0.00,34200.00,PAID,NET30,0,
INV-2024-002,SO-2024-002,CUST-003,01/22/2024,03/07/2024,12500.00,0.00,12500.00,paid,NET45,0,
INV-2024-003,SO-2024-003,CUST-007,2024-01-15,2024-03-15,22500.00,0.00,22500.00,Paid,NET60,0,
INV-2024-004,SO-2024-004,CUST-002,2024-02-06,2024-04-06,33885.00,0.00,33885.00,PAID,NET60,0,
INV-2024-006,SO-2024-006,CUST-010,02/01/2024,03/17/2024,11932.50,0.00,11932.50,paid,NET45,0,
INV-2024-007,SO-2024-007,CUST-004,2024-02-03,2024-03-04,78000.00,0.00,78000.00,OVERDUE,NET30,58,Key account - escalate
INV-2024-008,SO-2024-008,CUST-011,2024-02-11,2024-04-11,58500.00,0.00,58500.00,Partial,NET60,21,Dispute on hardware qty
INV-2024-009,SO-2024-009,CUST-013,02/13/2024,03/29/2024,20140.00,0.00,20140.00,PAID,NET45,0,
INV-2024-010,SO-2024-010,CUST-006,2024-02-20,2024-03-21,14500.00,0.00,14500.00,paid,NET30,0,
INV-2024-011,SO-2024-011,CUST-014,2024-02-23,2024-03-24,32760.00,0.00,32760.00,PAID,NET30,0,
INV-2024-012,SO-2024-012,CUST-001,02/22/2024,03/23/2024,57000.00,0.00,57000.00,Paid,NET30,0,
INV-2024-013,SO-2024-013,CUST-009,2024-02-20,2024-03-21,12000.00,0.00,12000.00,OVERDUE,NET30,42,EDU budget cycle delay
INV-2024-014,SO-2024-014,CUST-015,2024-03-04,2024-05-03,47500.00,0.00,47500.00,outstanding,NET60,0,
INV-2024-015,SO-2024-015,CUST-002,03/10/2024,05/09/2024,49020.00,0.00,49020.00,PAID,NET60,0,
INV-2024-016,SO-2024-016,CUST-008,2024-03-06,2024-03-21,17600.00,0.00,17600.00,paid,NET15,0,
INV-2024-017,SO-2024-017,CUST-003,03/10/2024,04/24/2024,16950.00,0.00,16950.00,PAID,NET45,0,
INV-2024-018,SO-2024-018,CUST-007,2024-03-15,2024-05-14,67500.00,0.00,67500.00,OUTSTANDING,NET60,0,
INV-2024-019,SO-2024-019,CUST-011,04/01/2024,05/31/2024,103050.00,0.00,103050.00,partial,NET60,0,Partial payment received - see dispute notes
INV-2024-020,SO-2024-020,CUST-004,2024-03-30,2024-04-29,156000.00,0.00,156000.00,OVERDUE,NET30,33,Largest invoice Q1 - CEO escalation
INV-2024-021,SO-2024-022,CUST-010,04/02/2024,05/17/2024,46065.00,0.00,46065.00,outstanding,NET45,0,
INV-2024-022,SO-2024-024,CUST-006,2024-04-16,2024-05-16,25500.00,0.00,25500.00,Outstanding,NET30,0,
